kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.8110,0,0,0,0,2.470613377,2.7e-08,-2.7e-08,122.763305,8.7e-06,-8.7e-06,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,14230.9,4.2,-4.2,13.04,0.51,-0.51,1339.0,,,761.46,106.21,-95.76,4304.30,1,q1_q17_dr25_tce,5820.00,78.00,-78.00,4.457,0.024,-0.024,0.9640,0.0380,-0.0380,19h07m14.03s,+49d18m59.0s,11.338,
10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1.0000,0,1,0,0,2.204735417,4.3e-08,-4.3e-08,121.3585417,1.6e-05,-1.6e-05,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6674.7,1.7,-1.7,16.1,0.81,-0.91,2048.0,,,4148.92,651.59,-654.46,5945.90,1,q1_q17_dr25_tce,6440.00,76.00,-89.00,4.019,0.033,-0.027,1.9520,0.0990,-0.1100,19h28m59.35s,+47d58m10.3s,10.463,
6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,3.522498429,1.98e-07,-1.98e-07,121.1194228,4.71e-05,-4.71e-05,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,9145.7,6.6,-6.6,14.59,1.11,-1.11,1521.0,,,1264.67,307.23,-276.48,1741.50,1,q1_q17_dr25_tce,6225.00,112.00,-137.00,4.169,0.055,-0.045,1.4510,0.1100,-0.1100,18h45m09.15s,+42d27m03.9s,13.563,
11138155,K00760.01,Kepler-1976 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.959319244,5.15e-07,-5.15e-07,172.2585292,8.27e-05,-8.27e-05,0.831,0.016,-0.004,2.22739,0.0075,-0.0075,9802,20,-20,12.21,1.96,-1.46,1103.0,,,349.40,146.52,-93.21,696.50,1,q1_q17_dr25_tce,5712.00,77.00,-77.00,4.359,0.110,-0.110,1.0820,0.1730,-0.1300,19h28m40.09s,+48d43m39.3s,15.263,
11414511,K00767.01,Kepler-670 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,2.816504904,1.65e-07,-1.65e-07,170.9676846,4.66e-05,-4.66e-05,0.105,0.264,-0.119,2.50587,0.00666,-0.00666,16813.7,11,-11,12.21,1.62,-0.87,1219.0,,,521.13,184.34,-97.95,1406.80,1,q1_q17_dr25_tce,5532.00,74.00,-83.00,4.452,0.063,-0.108,0.9550,0.1270,-0.0680,19h48m03.71s,+49d13m31.0s,15.052,
11812062,K00776.01,Kepler-673 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.728732147,9.36e-07,-9.36e-07,171.793255,0.000195,-0.000195,0.558,0.13,-0.149,2.683,0.035,-0.035,5226.5,18.5,-18.5,6.02,1.22,-0.52,1023.0,,,258.34,162.58,-65.21,345.20,1,q1_q17_dr25_tce,5497.00,166.00,-149.00,4.577,0.034,-0.136,0.8090,0.1640,-0.0700,19h23m08.58s,+50d03m14.8s,15.523,
12644822,K00791.01,Kepler-682 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,12.611904345,6.65e-06,-6.65e-06,180.892284,0.000413,-0.000413,0.55,0.065,-0.128,5.1497,0.0592,-0.0592,6105.6,27.6,-27.6,7.4,2.2,-0.73,753.0,,,76.15,66.33,-21.39,277.20,1,q1_q17_dr25_tce,5795.00,156.00,-173.00,4.508,0.039,-0.208,0.9190,0.2730,-0.0910,19h16m26.93s,+51d44m14.6s,15.140,
4275191,K00813.01,Kepler-688 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.895936525,7.71e-07,-7.71e-07,170.527552,0.000157,-0.000157,0.524,0.069,-0.237,2.3111,0.0302,-0.0302,8544.8,29.5,-29.5,7.34,1.53,-0.65,1005.0,,,241.62,155.31,-64.19,370.80,1,q1_q17_dr25_tce,5557.00,167.00,-167.00,4.592,0.034,-0.136,0.7740,0.1610,-0.0690,19h38m37.26s,+39d18m30.1s,15.725,
3351888,K00801.01,Kepler-685 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,1.625522174,1.58e-07,-1.58e-07,170.8266564,7.61e-05,-7.61e-05,0.076,0.022,-0.076,2.38963,0.00338,-0.00338,7969,11.8,-11.8,9.73,1.41,-1.42,1579.0,,,1467.41,576.36,-452.24,799.70,1,q1_q17_dr25_tce,5539.00,83.00,-74.00,4.322,0.137,-0.100,1.1060,0.1610,-0.1610,19h35m29.26s,+38d25m22.6s,15.001,
3935914,K00809.01,Kepler-686 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,1.594745374,1.13e-07,-1.13e-07,170.6483505,5.79e-05,-5.79e-05,0.514,0.022,-0.037,1.9604,0.0106,-0.0106,15044.5,20.3,-20.3,11.3,3.09,-1.33,1539.0,,,1329.42,1067.75,-412.98,1009.30,1,q1_q17_dr25_tce,5934.00,160.00,-178.00,4.491,0.065,-0.195,0.8930,0.2440,-0.1050,19h00m51.31s,+39d01m38.9s,15.530,
5358624,K00830.01,Kepler-428 b,CONFIRMED,CANDIDATE,0.9900,0,0,0,0,3.525632539,1.5e-07,-1.5e-07,170.0479951,3.33e-05,-3.33e-05,0.12,0.006,-0.084,2.59959,0.00079,-0.00079,22335,13.1,-13.1,11.58,0.9,-0.48,975.0,,,213.12,50.79,-29.54,1996.70,1,q1_q17_dr25_tce,5150.00,82.00,-82.00,4.572,0.020,-0.064,0.7930,0.0620,-0.0330,19h22m19.62s,+40d34m38.6s,15.224,
5164255,K00824.01,Kepler-693 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,15.37562369,1.017e-05,-1.017e-05,173.61402,0.000608,-0.000608,0.692,0.033,-0.066,3.3169,0.0645,-0.0645,15337,114,-114,11.01,0.44,-0.82,600.0,,,30.54,4.61,-5.99,166.00,1,q1_q17_dr25_tce,4986.00,79.00,-79.00,4.496,0.075,-0.025,0.8330,0.0330,-0.0620,18h53m00.85s,+40d21m29.5s,16.422,
5651104,K00840.01,Kepler-695 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.04033046,3.37e-07,-3.37e-07,169.9490106,8.86e-05,-8.86e-05,0.736,0.013,-0.024,1.8411,0.0168,-0.0168,10858.8,25.8,-25.8,8.99,0.8,-0.99,1021.0,,,257.29,86.59,-76.86,568.20,1,q1_q17_dr25_tce,5035.00,151.00,-151.00,4.519,0.084,-0.063,0.7910,0.0710,-0.0870,19h57m15.86s,+40d49m20.6s,15.028,
6291653,K00850.01,Kepler-702 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,10.526294577,1.783e-06,-1.783e-06,176.522462,0.000136,-0.000136,0.644,0.031,-0.045,2.5211,0.0257,-0.0257,9768,26.4,-26.4,8.24,1.48,-0.8,713.0,,,61.16,34.56,-16.93,482.30,1,q1_q17_dr25_tce,5386.00,159.00,-159.00,4.553,0.056,-0.104,0.7930,0.1430,-0.0770,19h35m30.75s,+41d39m42.4s,15.305,
757450,K00889.01,Kepler-75 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,8.884922995,1.636e-06,-1.636e-06,169.991686,0.000144,-0.000144,0.069,0.087,-0.069,2.07004,0.00709,-0.00709,16053.4,47.4,-47.4,10.51,0.56,-0.57,770.0,,,83.21,16.69,-13.87,388.20,1,q1_q17_dr25_tce,5332.00,106.00,-96.00,4.500,0.050,-0.036,0.8430,0.0450,-0.0450,19h24m33.02s,+36d34m38.6s,15.264,
7585481,K00890.01,Kepler-714 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,8.09888906,2.181e-06,-2.181e-06,176.623731,0.000216,-0.000216,0.018,0.154,-0.018,4.20241,0.00982,-0.00982,6911.1,18,-18,8.95,2.94,-0.98,986.0,,,223.19,216.44,-69.72,435.90,1,q1_q17_dr25_tce,6214.00,174.00,-217.00,4.442,0.054,-0.216,1.0760,0.3530,-0.1180,18h50m47.88s,+43d16m21.9s,15.261,
5812701,K00012.01,Kepler-448 b,CONFIRMED,CANDIDATE,0.6350,0,0,0,0,17.855221681,3.676e-06,-3.676e-06,146.596466,0.000163,-0.000163,0.075,0.106,-0.043,7.41287,0.00581,-0.00581,9065.2,11.2,-11.2,13.16,2.57,-0.65,911.0,,,163.04,78.35,-23.38,915.70,1,q1_q17_dr25_tce,6823.00,61.00,-92.00,4.308,0.024,-0.128,1.3670,0.2670,-0.0670,19h49m48.90s,+41d00m39.6s,11.353,
8039892,K00903.01,Kepler-719 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.007316661,1.389e-06,-1.389e-06,173.433997,0.000219,-0.000219,0.344,0.076,-0.181,4.2362,0.0248,-0.0248,6932.3,19.7,-19.7,6.96,1.75,-0.62,998.0,,,234.28,170.60,-64.02,431.40,1,q1_q17_dr25_tce,5865.00,146.00,-190.00,4.563,0.042,-0.168,0.8270,0.2080,-0.0740,19h42m08.67s,+43d53m04.0s,15.813,
7849854,K00897.01,Kepler-718 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,2.052349884,1.37e-07,-1.37e-07,169.890622,5.25e-05,-5.25e-05,0.437,0.03,-0.054,2.0778,0.0109,-0.0109,14280.6,17.9,-17.9,13.12,2.01,-1.18,1497.0,,,1183.18,468.35,-260.60,1072.10,1,q1_q17_dr25_tce,5855.00,70.00,-88.00,4.393,0.076,-0.123,1.0800,0.1660,-0.0970,19h58m14.85s,+43d30m12.8s,15.257,
8544996,K00913.01,Kepler-723 b,CONFIRMED,CANDIDATE,0.9970,0,0,0,0,4.082274889,2.47e-07,-2.47e-07,169.6375652,4.87e-05,-4.87e-05,0.093,0.014,-0.076,3.23015,0.00288,-0.00288,17859.2,12.5,-12.5,10.55,2.4,-0.87,1016.0,,,251.48,170.17,-61.38,1669.10,1,q1_q17_dr25_tce,5655.00,152.00,-152.00,4.581,0.038,-0.152,0.7940,0.1810,-0.0650,18h59m19.31s,+44d39m29.3s,15.198,
8255887,K00908.01,Kepler-720 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.708326451,7.3e-07,-7.3e-07,171.446507,0.000121,-0.000121,0.061,0.063,-0.061,3.16114,0.00526,-0.00526,7912.7,14.4,-14.4,10.6,2.85,-2.56,1162.0,,,431.02,349.26,-211.73,633.40,1,q1_q17_dr25_tce,5560.00,166.00,-166.00,4.246,0.252,-0.189,1.2100,0.3250,-0.2930,19h54m32.56s,+44d10m15.4s,15.113,
9141746,K00929.01,Kepler-730 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,6.491682808,1.685e-06,-1.685e-06,174.633553,0.000216,-0.000216,0.535,0.034,-0.053,4.301,0.0272,-0.0272,7163.3,17.2,-17.2,9.66,3.27,-1.31,1062.0,,,301.54,310.33,-112.73,502.30,1,q1_q17_dr25_tce,6123.00,193.00,-265.00,4.413,0.072,-0.217,1.1070,0.3750,-0.1500,19h02m13.15s,+45d34m43.9s,15.649,
9166862,K00931.01,Kepler-731 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,3.855603916,3.68e-07,-3.68e-07,170.6787843,7.48e-05,-7.48e-05,0.348,0.027,-0.039,3.2179,0.0101,-0.0101,16652.7,18.2,-18.2,13.61,3.8,-1.35,1212.0,,,508.65,435.35,-163.96,1173.90,1,q1_q17_dr25_tce,6033.00,193.00,-265.00,4.460,0.048,-0.192,1.0460,0.2920,-0.1040,19h45m34.36s,+45d34m06.8s,15.272,
8359498,K00127.01,Kepler-77 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,3.578780566,1.83e-07,-1.83e-07,134.0304187,4.21e-05,-4.21e-05,0.079,0.045,-0.054,2.91089,0.00147,-0.00147,11382.2,7.2,-7.2,10.43,0.62,-0.62,1145.0,,,406.60,87.15,-74.65,1838.40,1,q1_q17_dr25_tce,5524.00,110.00,-110.00,4.421,0.050,-0.045,0.9940,0.0590,-0.0590,19h18m25.91s,+44d20m43.5s,13.938,
11359879,K00128.01,Kepler-15 b,CONFIRMED,CANDIDATE,0.9960,0,0,0,0,4.942783419,2.47e-07,-2.47e-07,136.3294353,4.07e-05,-4.07e-05,0.566,0.009,-0.009,3.25346,0.00605,-0.00605,11144.7,6.7,-6.7,10.62,1.44,-0.73,1008.0,,,244.42,94.02,-48.62,2040.70,1,q1_q17_dr25_tce,5514.00,98.00,-109.00,4.459,0.051,-0.110,0.9780,0.1330,-0.0670,19h44m48.14s,+49d08m24.4s,13.758,
3749365,K01176.01,Kepler-785 b,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,1.97376085,9.9e-08,-9.9e-08,178.6894194,4.01e-05,-4.01e-05,0.337,0.225,-0.165,1.82542,0.00776,-0.00776,30222.4,31.3,-31.3,8.78,1.43,-2.13,753.0,,,76.10,62.11,-44.33,1252.50,1,q1_q17_dr25_tce,3807.00,291.00,-291.00,4.762,0.120,-0.080,0.5030,0.0820,-0.1220,19h28m16.39s,+38d50m32.2s,15.715,
9818381,K00135.01,Kepler-43 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.024092505,2.25e-07,-2.25e-07,132.4168573,6.22e-05,-6.22e-05,0.424,0.031,-0.046,2.8021,0.0103,-0.0103,7765,8.6,-8.6,12.14,0.79,-0.95,1489.0,,,1162.54,252.01,-267.02,1225.30,1,q1_q17_dr25_tce,6063.00,108.00,-145.00,4.261,0.055,-0.045,1.3580,0.0880,-0.1070,19h00m57.80s,+46d40m05.7s,13.958,
10272640,K01074.01,Kepler-762 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.770551475,4.869e-06,-4.869e-06,357.11836,0.000904,-0.000904,0.053,0.212,-0.053,3.8077,0.038,-0.038,12440,144,-144,12.05,4.08,-1.35,1302.0,,,679.75,678.84,-228.09,100.80,1,q1_q17_dr25_tce,6322.00,175.00,-263.00,4.426,0.056,-0.210,1.0750,0.3640,-0.1210,19h25m06.15s,+47d19m46.2s,15.439,
7778437,K00131.01,Kepler-471 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.014234733,8.59e-07,-8.59e-07,133.174289,0.000141,-0.000141,0.066,0.029,-0.066,4.589,0.00525,-0.00525,6536,9.5,-9.5,10.63,3.57,-1.53,1308.0,,,692.13,665.33,-253.54,794.30,1,q1_q17_dr25_tce,6490.00,155.00,-232.00,4.320,0.067,-0.202,1.3070,0.4390,-0.1880,19h56m23.41s,+43d29m51.3s,13.797,
8191672,K00018.01,Kepler-5 b,CONFIRMED,CANDIDATE,0.7540,0,1,0,0,3.548465446,1.83e-07,-1.83e-07,122.9014315,4.26e-05,-4.26e-05,0.075,0.013,-0.053,4.56904,0.00118,-0.00118,7251.5,3.3,-3.3,14.92,1.08,-1.31,1640.0,,,1708.28,416.27,-397.63,2486.50,1,q1_q17_dr25_tce,6290.00,125.00,-125.00,4.074,0.050,-0.050,1.7460,0.1260,-0.1540,19h57m37.68s,+44d02m06.2s,13.369,
4164994,K01320.01,Kepler-816 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.50682978,3.682e-06,-3.682e-06,360.082152,0.00025,-0.00025,0.407,0.074,-0.178,3.7769,0.0353,-0.0353,13355.5,45.2,-45.2,9.01,1.2,-0.7,668.0,,,47.21,22.62,-12.56,343.40,1,q1_q17_dr25_tce,5127.00,185.00,-185.00,4.589,0.030,-0.090,0.7820,0.1040,-0.0610,19h33m27.08s,+39d12m44.8s,15.950,
7532973,K01450.01,Kepler-854 b,CONFIRMED,FALSE POSITIVE,0.0410,0,1,0,0,2.144632238,1.266e-06,-1.266e-06,133.984128,0.000482,-0.000482,1.228,0.059,-0.048,6.2701,0.0362,-0.0362,19836.9,76.9,-76.9,59.19,17.96,-11.97,1736.0,,,2146.82,1923.32,-961.12,334.80,1,q1_q17_dr25_tce,6296.00,175.00,-219.00,4.240,0.180,-0.180,1.3050,0.3960,-0.2640,19h33m24.31s,+43d08m04.7s,13.480,
4076098,K01323.01,Kepler-817 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.990105908,1.431e-06,-1.431e-06,355.840837,0.000252,-0.000252,0.582,0.057,-0.329,2.4108,0.0414,-0.0414,6154.9,32.5,-32.5,7.45,2.18,-0.73,1124.0,,,378.53,327.65,-114.98,247.80,1,q1_q17_dr25_tce,5926.00,166.00,-228.00,4.519,0.048,-0.192,0.9130,0.2670,-0.0890,19h44m19.64s,+39d09m41.8s,15.572,
